catagery_name,subcatagery_link,subcatagery_name,subcatofcat_link,subcatofcat_name
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/nomad-leather/loveseat?sku=NLSF-SL-2-MD-DW,Loveseats
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/dunes-7-piece-sectional-cover?sku=OSTCV-SL-DN-CUR-KVR-S7,Seating Covers
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/field-fabric/4-piece-sectional-lounger?sku=FLRST-SF-FD-S3-A2-C1-FG-DW,Modular Sectionals
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/union-fabric/4-seat-sectional?sku=FLRST-SL-UN-S4-A2-C0-CGF-DW,Modular Sectionals
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/nomad-leather/loveseat-chaise?sku=NLSC-SL-2-MD-DW,Loveseats
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/nomad-leather/loveseat-ottoman?sku=NLSO-SL-2-MD-DW,Loveseats
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/dunes-6-piece-u-sectional-cover?sku=OSTCV-SUR-DN-CUR-KVR-S6,Seating Covers
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/dunes-8-piece-u-sectional-cover?sku=OSTCV-SUR-DN-CUR-KVR-S8,Seating Covers
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/nomad-leather/sofa-sectional?sku=NLSC-TN-3-MD-DW,Modular Sectionals
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/nomad-velvet/sofa-sectional?sku=NVSC-JD-3-MD-DW,Modular Sectionals
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/nomad-velvet/loveseat-chaise?sku=NVSC-DK-2-MD-DW&seating-pillows=ALRSA-BT-NDV,Loveseats
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/dunes-sun-lounger-cover?sku=OSTCV-AC-DN-CUR-KVR,Seating Covers
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/dunes-chair-cover?sku=OSTCV-AC-DN-CUR-KVR-S1,Seating Covers
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/range-fabric/4-piece-one-arm-sectional?sku=FLRST-SL-RG-S4-A1-C0-OC-DW,Modular Sectionals
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/nomad-velvet/loveseat-ottoman?sku=NVSO-OC-2-MD-DW&seating-pillows=ALRSA-BT-NDV,Loveseats
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/range-fabric/2-piece-open-sofa?sku=FLRST-SF-RG-S2-A0-C0-MG-DW,Loveseats
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/dunes-ottoman-cover?sku=OSTCV-OT-DN-CUR-KVR-S0,Seating Covers
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/nomad-fabric/king-sofa-chaise?sku=NSC-CH-4-MD-DW,Modular Sectionals
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/range-fabric/2-piece-one-arm-sofa?sku=FLRST-SF-RG-S2-A1-C0-MG-DW,Loveseats
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/range-fabric/3-piece-open-sectional-lounger?sku=FLRST-SF-RG-S2-A1-C1-MG-DW,Loveseats
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/ottoman-cover?sku=AOSTCV-OT-RY-CUR-KVR-S0,Seating Covers
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/field-fabric/5-piece-sectional-lounger?sku=FLRST-SF-FD-S4-A2-C1-CB-DW,Modular Sectionals
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/range-fabric/5-piece-sectional-lounger?sku=FLRST-SF-RG-S4-A2-C1-HC-DW,Modular Sectionals
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/range-fabric/3-piece-sectional-lounger?sku=FLRST-SF-RG-S2-A2-C1-NB-LW,Loveseats
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/range-fabric/3-piece-one-arm-sectional-with-table?sku=FLRST-SFT-RG-S2-A1-C1-HC-LW-OK,Loveseats
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/chair-cover?sku=AOSTCV-SF-RY-CUR-KVR-S1,Seating Covers
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/2-piece-sofa-cover?sku=AOSTCV-SF-RY-CUR-KVR-S2,Seating Covers
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/nomad-fabric/double-chaise-u-sectional?sku=NSCC-IV-4-MD-LW,Modular Sectionals
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/union-fabric/6-seat-u-sectional?sku=FLRST-SU-UN-S6-A2-C0-IVF-DW,Modular Sectionals
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/range-fabric/2-piece-one-arm-sofa-with-table?sku=FLRST-SFT-RG-S2-A1-C0-NB-LW-OK,Loveseats
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/field-fabric/2-piece-sofa?sku=FLRST-SF-FD-S2-A2-C0-IVB-DW,Loveseats
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/3-piece-sofa-cover?sku=AOSTCV-SF-RY-CUR-KVR-S3,Seating Covers
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/4-piece-sofa-cover?sku=AOSTCV-SF-RY-CUR-KVR-S4,Seating Covers
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/range-fabric/6-piece-sectional-double-lounger?sku=FLRST-SF-RG-S4-A2-C2-MG-LW,Modular Sectionals
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/field-leather/5-piece-sectional-lounger?sku=FLRST-SF-FDL-S4-A2-C1-TN-DW,Modular Sectionals
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/nomad-velvet/loveseat-chaise-ottoman?sku=NVSCO-FT-2-MD-DW,Loveseats
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/nomad-fabric/loveseat-chaise-ottoman?sku=NSCO-CG-2-HI-LW,Loveseats
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/3-piece-sectional-cover?sku=AOSTCV-SL-RY-CUR-KVR-S3,Seating Covers
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/field-leather/6-piece-sectional-double-lounger?sku=FLRST-SF-FDL-S4-A2-C2-TN-DW,Modular Sectionals
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/nomad-fabric/loveseat-ottoman?sku=NSO-CG-2-HI-LW,Loveseats
